date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:44:02	121/121	---MCZ	200	added ('OK')	text/plain	date:Thu,%2009%20Feb%202023%2001:43:59%20GMT	https://travelicious.bold-themes.com/robots.txt		(from )
08:44:03	360386/360386	---MCZ	200	added ('OK')	text/html	date:Thu,%2009%20Feb%202023%2001:43:59%20GMT	https://travelicious.bold-themes.com/main-demo/	C:/My%20Web%20Sites/travelicious/travelicious.bold-themes.com/main-demo/index.html	(from )
08:44:05	94889/94889	---MCZ	200	added ('OK')	text/css	etag:W/%22172a9-5ed9ee13d20fc%22	https://travelicious.bold-themes.com/main-demo/wp-includes/css/dist/block-library/style.min.css?ver=6.1.1	C:/My%20Web%20Sites/travelicious/travelicious.bold-themes.com/main-demo/wp-includes/css/dist/block-library/style.min6a4d.css	(from https://travelicious.bold-themes.com/main-demo/)
08:44:06	62968/62968	---MC-	200	added ('OK')	application/rss+xml	etag:%2292d60e0f16a5b721a1dd3473ba123294%22	https://travelicious.bold-themes.com/main-demo/feed/	C:/My%20Web%20Sites/travelicious/travelicious.bold-themes.com/main-demo/feed/index.html	(from https://travelicious.bold-themes.com/main-demo/)
08:44:06	808/808	---MC-	200	added ('OK')	application/rss+xml	etag:%2292d60e0f16a5b721a1dd3473ba123294%22	https://travelicious.bold-themes.com/main-demo/comments/feed/	C:/My%20Web%20Sites/travelicious/travelicious.bold-themes.com/main-demo/comments/feed/index.html	(from https://travelicious.bold-themes.com/main-demo/)
08:44:06	5305/5305	---MCZ	200	added ('OK')	text/css	etag:W/%2214b9-5d9e99b8e3ea7%22	https://travelicious.bold-themes.com/main-demo/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/wc-blocks-vendors-style.css?ver=6.1.0	C:/My%20Web%20Sites/travelicious/travelicious.bold-themes.com/main-demo/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/wc-blocks-vendors-style42c6.css	(from https://travelicious.bold-themes.com/main-demo/)
08:44:07	192102/192102	---MCZ	200	added ('OK')	text/css	etag:W/%222ee66-5d9e99b8e2f07%22	https://travelicious.bold-themes.com/main-demo/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/wc-blocks-style.css?ver=6.1.0	C:/My%20Web%20Sites/travelicious/travelicious.bold-themes.com/main-demo/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/wc-blocks-style42c6.css	(from https://travelicious.bold-themes.com/main-demo/)
08:44:07	217/217	---MCZ	200	added ('OK')	text/css	etag:W/%22d9-5eca45744526b%22	https://travelicious.bold-themes.com/main-demo/wp-includes/css/classic-themes.min.css?ver=1	C:/My%20Web%20Sites/travelicious/travelicious.bold-themes.com/main-demo/wp-includes/css/classic-themes.min68b3.css	(from https://travelicious.bold-themes.com/main-demo/)
08:44:09	1776/1776	---MCZ	200	added ('OK')	text/css	etag:W/%226f0-5f3c87997e8a6%22	https://travelicious.bold-themes.com/main-demo/wp-content/plugins/bold-page-builder/slick/slick.css?ver=4.5.1	C:/My%20Web%20Sites/travelicious/travelicious.bold-themes.com/main-demo/wp-content/plugins/bold-page-builder/slick/slick8686.css	(from https://travelicious.bold-themes.com/main-demo/)
08:44:10	36617/36617	---MCZ	200	added ('OK')	text/css	etag:W/%228f09-59be5ebc62240%22	https://travelicious.bold-themes.com/main-demo/wp-content/plugins/bt_cost_calculator/style.min.css?ver=6.1.1	C:/My%20Web%20Sites/travelicious/travelicious.bold-themes.com/main-demo/wp-content/plugins/bt_cost_calculator/style.min6a4d.css	(from https://travelicious.bold-themes.com/main-demo/)
08:44:10	2245492/2245492	---MCZ	200	added ('OK')	text/css	etag:W/%22224374-5f3c87998d6f3%22	https://travelicious.bold-themes.com/main-demo/wp-content/plugins/bold-page-builder/css/front_end/content_elements.crush.css?ver=4.5.1	C:/My%20Web%20Sites/travelicious/travelicious.bold-themes.com/main-demo/wp-content/plugins/bold-page-builder/css/front_end/content_elements.crush8686.css	(from https://travelicious.bold-themes.com/main-demo/)
08:44:15	2803/2803	---MCZ	200	added ('OK')	text/css	etag:W/%22af3-5f3c8799d8640%22	https://travelicious.bold-themes.com/main-demo/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.7.3	C:/My%20Web%20Sites/travelicious/travelicious.bold-themes.com/main-demo/wp-content/plugins/contact-form-7/includes/css/styles76f3.css	(from https://travelicious.bold-themes.com/main-demo/)
08:44:15	35973/35973	---M-Z	200	added ('OK')	text/css	etag:W/%2228feccc0-8c85%22	http://code.jquery.com/ui/1.12.1/themes/base/jquery-ui.css?ver=6.1.1	C:/My%20Web%20Sites/travelicious/code.jquery.com/ui/1.12.1/themes/base/jquery-ui6a4d.css	(from https://travelicious.bold-themes.com/main-demo/)
08:44:16	250/250	---MCZ	200	added ('OK')	text/css	etag:W/%22fa-5f3c879a6b5fb%22	https://travelicious.bold-themes.com/main-demo/wp-content/plugins/travelicious/assets/css/jquery.date-dropdowns.css?ver=6.1.1	C:/My%20Web%20Sites/travelicious/travelicious.bold-themes.com/main-demo/wp-content/plugins/travelicious/assets/css/jquery.date-dropdowns6a4d.css	(from https://travelicious.bold-themes.com/main-demo/)
08:44:18	936994/936994	---MCZ	200	added ('OK')	text/css	etag:W/%22e4c22-5f3c877212472%22	https://travelicious.bold-themes.com/main-demo/wp-content/themes/travelicious/style.css?ver=6.1.1	C:/My%20Web%20Sites/travelicious/travelicious.bold-themes.com/main-demo/wp-content/themes/travelicious/style6a4d.css	(from https://travelicious.bold-themes.com/main-demo/)
08:44:19	54264/54264	---M--	200	added ('OK')	font/woff	etag:%22d3f8-5f3c87720af40%22	https://travelicious.bold-themes.com/main-demo/wp-content/themes/travelicious/fonts/Business/Business.woff	C:/My%20Web%20Sites/travelicious/travelicious.bold-themes.com/main-demo/wp-content/themes/travelicious/fonts/Business/Business.woff	(from https://travelicious.bold-themes.com/main-demo/)
08:44:21	61616/61616	---M--	200	added ('OK')	font/woff	etag:%22f0b0-5f3c877209000%22	https://travelicious.bold-themes.com/main-demo/wp-content/themes/travelicious/fonts/Construction/Construction.woff	C:/My%20Web%20Sites/travelicious/travelicious.bold-themes.com/main-demo/wp-content/themes/travelicious/fonts/Construction/Construction.woff	(from https://travelicious.bold-themes.com/main-demo/)
08:44:22	34852/34852	---M--	200	added ('OK')	font/woff	etag:%228824-5f3c87720baf8%22	https://travelicious.bold-themes.com/main-demo/wp-content/themes/travelicious/fonts/Design/Design.woff	C:/My%20Web%20Sites/travelicious/travelicious.bold-themes.com/main-demo/wp-content/themes/travelicious/fonts/Design/Design.woff	(from https://travelicious.bold-themes.com/main-demo/)
08:44:23	124888/124888	---M--	200	added ('OK')	font/ttf	etag:%221e7d8-5f3c8772093e8%22	https://travelicious.bold-themes.com/main-demo/wp-content/themes/travelicious/fonts/Construction/Construction.ttf	C:/My%20Web%20Sites/travelicious/travelicious.bold-themes.com/main-demo/wp-content/themes/travelicious/fonts/Construction/Construction.ttf	(from https://travelicious.bold-themes.com/main-demo/)
08:44:24	119796/119796	---M--	200	added ('OK')	font/ttf	etag:%221d3f4-5f3c87720af40%22	https://travelicious.bold-themes.com/main-demo/wp-content/themes/travelicious/fonts/Business/Business.ttf	C:/My%20Web%20Sites/travelicious/travelicious.bold-themes.com/main-demo/wp-content/themes/travelicious/fonts/Business/Business.ttf	(from https://travelicious.bold-themes.com/main-demo/)
08:44:26	15760/15760	---M--	200	added ('OK')	font/woff	etag:%223d90-5f3c87720788f%22	https://travelicious.bold-themes.com/main-demo/wp-content/themes/travelicious/fonts/Development/Development.woff	C:/My%20Web%20Sites/travelicious/travelicious.bold-themes.com/main-demo/wp-content/themes/travelicious/fonts/Development/Development.woff	(from https://travelicious.bold-themes.com/main-demo/)
08:44:26	115444/115444	---M--	200	added ('OK')	font/ttf	etag:%221c2f4-5f3c87720baf8%22	https://travelicious.bold-themes.com/main-demo/wp-content/themes/travelicious/fonts/Design/Design.ttf	C:/My%20Web%20Sites/travelicious/travelicious.bold-themes.com/main-demo/wp-content/themes/travelicious/fonts/Design/Design.ttf	(from https://travelicious.bold-themes.com/main-demo/)
08:44:27	25988/25988	---M--	200	added ('OK')	font/ttf	etag:%226584-5f3c8772074a7%22	https://travelicious.bold-themes.com/main-demo/wp-content/themes/travelicious/fonts/Development/Development.ttf	C:/My%20Web%20Sites/travelicious/travelicious.bold-themes.com/main-demo/wp-content/themes/travelicious/fonts/Development/Development.ttf	(from https://travelicious.bold-themes.com/main-demo/)
08:44:27	85584/85584	---M--	200	added ('OK')	font/woff	etag:%2214e50-5f3c877208830%22	https://travelicious.bold-themes.com/main-demo/wp-content/themes/travelicious/fonts/Essential/Essential.woff	C:/My%20Web%20Sites/travelicious/travelicious.bold-themes.com/main-demo/wp-content/themes/travelicious/fonts/Essential/Essential.woff	(from https://travelicious.bold-themes.com/main-demo/)
08:44:29	98024/98024	---M--	200	added ('OK')	font/woff	etag:%2217ee8-5f3c877207c77%22	https://travelicious.bold-themes.com/main-demo/wp-content/themes/travelicious/fonts/FontAwesome/FontAwesome.woff	C:/My%20Web%20Sites/travelicious/travelicious.bold-themes.com/main-demo/wp-content/themes/travelicious/fonts/FontAwesome/FontAwesome.woff	(from https://travelicious.bold-themes.com/main-demo/)
08:44:30	88428/88428	---M--	200	added ('OK')	font/woff	etag:%221596c-5f3c87720c2c9%22	https://travelicious.bold-themes.com/main-demo/wp-content/themes/travelicious/fonts/FontAwesome5Brands/FontAwesome5Brands.woff	C:/My%20Web%20Sites/travelicious/travelicious.bold-themes.com/main-demo/wp-content/themes/travelicious/fonts/FontAwesome5Brands/FontAwesome5Brands.woff	(from https://travelicious.bold-themes.com/main-demo/)
08:44:30	165548/165548	---M--	200	added ('OK')	font/ttf	etag:%22286ac-5f3c877207c77%22	https://travelicious.bold-themes.com/main-demo/wp-content/themes/travelicious/fonts/FontAwesome/FontAwesome.ttf	C:/My%20Web%20Sites/travelicious/travelicious.bold-themes.com/main-demo/wp-content/themes/travelicious/fonts/FontAwesome/FontAwesome.ttf	(from https://travelicious.bold-themes.com/main-demo/)
08:44:31	16804/16804	---M--	200	added ('OK')	font/woff	etag:%2241a4-5f3c87720c6b1%22	https://travelicious.bold-themes.com/main-demo/wp-content/themes/travelicious/fonts/FontAwesome5Regular/FontAwesome5Regular.woff	C:/My%20Web%20Sites/travelicious/travelicious.bold-themes.com/main-demo/wp-content/themes/travelicious/fonts/FontAwesome5Regular/FontAwesome5Regular.woff	(from https://travelicious.bold-themes.com/main-demo/)
08:44:31	34096/34096	---M--	200	added ('OK')	font/ttf	etag:%228530-5f3c87720c6b1%22	https://travelicious.bold-themes.com/main-demo/wp-content/themes/travelicious/fonts/FontAwesome5Regular/FontAwesome5Regular.ttf	C:/My%20Web%20Sites/travelicious/travelicious.bold-themes.com/main-demo/wp-content/themes/travelicious/fonts/FontAwesome5Regular/FontAwesome5Regular.ttf	(from https://travelicious.bold-themes.com/main-demo/)
08:44:31	130600/130600	---M--	200	added ('OK')	font/ttf	etag:%221fe28-5f3c87720c2c9%22	https://travelicious.bold-themes.com/main-demo/wp-content/themes/travelicious/fonts/FontAwesome5Brands/FontAwesome5Brands.ttf	C:/My%20Web%20Sites/travelicious/travelicious.bold-themes.com/main-demo/wp-content/themes/travelicious/fonts/FontAwesome5Brands/FontAwesome5Brands.ttf	(from https://travelicious.bold-themes.com/main-demo/)
08:44:32	213756/213756	---M--	200	added ('OK')	font/ttf	etag:%22342fc-5f3c877208c18%22	https://travelicious.bold-themes.com/main-demo/wp-content/themes/travelicious/fonts/Essential/Essential.ttf	C:/My%20Web%20Sites/travelicious/travelicious.bold-themes.com/main-demo/wp-content/themes/travelicious/fonts/Essential/Essential.ttf	(from https://travelicious.bold-themes.com/main-demo/)
08:44:33	98384/98384	---M--	200	added ('OK')	font/woff	etag:%2218050-5f3c87720baf8%22	https://travelicious.bold-themes.com/main-demo/wp-content/themes/travelicious/fonts/FontAwesome5Solid/FontAwesome5Solid.woff	C:/My%20Web%20Sites/travelicious/travelicious.bold-themes.com/main-demo/wp-content/themes/travelicious/fonts/FontAwesome5Solid/FontAwesome5Solid.woff	(from https://travelicious.bold-themes.com/main-demo/)
08:44:34	192472/192472	---M--	200	added ('OK')	font/ttf	etag:%222efd8-5f3c87720b710%22	https://travelicious.bold-themes.com/main-demo/wp-content/themes/travelicious/fonts/FontAwesome5Solid/FontAwesome5Solid.ttf	C:/My%20Web%20Sites/travelicious/travelicious.bold-themes.com/main-demo/wp-content/themes/travelicious/fonts/FontAwesome5Solid/FontAwesome5Solid.ttf	(from https://travelicious.bold-themes.com/main-demo/)
08:44:34	65920/65920	---M--	200	added ('OK')	font/woff	etag:%2210180-5f3c8772068ef%22	https://travelicious.bold-themes.com/main-demo/wp-content/themes/travelicious/fonts/Geography/Geography.woff	C:/My%20Web%20Sites/travelicious/travelicious.bold-themes.com/main-demo/wp-content/themes/travelicious/fonts/Geography/Geography.woff	(from https://travelicious.bold-themes.com/main-demo/)
08:44:34	65844/65844	---M--	200	added ('OK')	font/ttf	etag:%2210134-5f3c8772068ef%22	https://travelicious.bold-themes.com/main-demo/wp-content/themes/travelicious/fonts/Geography/Geography.ttf	C:/My%20Web%20Sites/travelicious/travelicious.bold-themes.com/main-demo/wp-content/themes/travelicious/fonts/Geography/Geography.ttf	(from https://travelicious.bold-themes.com/main-demo/)
08:44:35	28532/28532	---M--	200	added ('OK')	font/woff	etag:%226f74-5f3c877208447%22	https://travelicious.bold-themes.com/main-demo/wp-content/themes/travelicious/fonts/Icon7Stroke/Icon7Stroke.woff	C:/My%20Web%20Sites/travelicious/travelicious.bold-themes.com/main-demo/wp-content/themes/travelicious/fonts/Icon7Stroke/Icon7Stroke.woff	(from https://travelicious.bold-themes.com/main-demo/)
08:44:35	58480/58480	---M--	200	added ('OK')	font/ttf	etag:%22e470-5f3c877208447%22	https://travelicious.bold-themes.com/main-demo/wp-content/themes/travelicious/fonts/Icon7Stroke/Icon7Stroke.ttf	C:/My%20Web%20Sites/travelicious/travelicious.bold-themes.com/main-demo/wp-content/themes/travelicious/fonts/Icon7Stroke/Icon7Stroke.ttf	(from https://travelicious.bold-themes.com/main-demo/)
08:44:36	37588/37588	---M--	200	added ('OK')	font/woff	etag:%2292d4-5f3c87720de21%22	https://travelicious.bold-themes.com/main-demo/wp-content/themes/travelicious/fonts/Landmarks1/Landmarks1.woff	C:/My%20Web%20Sites/travelicious/travelicious.bold-themes.com/main-demo/wp-content/themes/travelicious/fonts/Landmarks1/Landmarks1.woff	(from https://travelicious.bold-themes.com/main-demo/)
08:44:38	37512/37512	---M--	200	added ('OK')	font/ttf	etag:%229288-5f3c87720de21%22	https://travelicious.bold-themes.com/main-demo/wp-content/themes/travelicious/fonts/Landmarks1/Landmarks1.ttf	C:/My%20Web%20Sites/travelicious/travelicious.bold-themes.com/main-demo/wp-content/themes/travelicious/fonts/Landmarks1/Landmarks1.ttf	(from https://travelicious.bold-themes.com/main-demo/)
08:44:39	21284/21284	---M--	200	added ('OK')	font/woff	etag:%225324-5f3c87720b328%22	https://travelicious.bold-themes.com/main-demo/wp-content/themes/travelicious/fonts/Landmarks2/Landmarks2.woff	C:/My%20Web%20Sites/travelicious/travelicious.bold-themes.com/main-demo/wp-content/themes/travelicious/fonts/Landmarks2/Landmarks2.woff	(from https://travelicious.bold-themes.com/main-demo/)
08:44:39	21208/21208	---M--	200	added ('OK')	font/ttf	etag:%2252d8-5f3c87720b328%22	https://travelicious.bold-themes.com/main-demo/wp-content/themes/travelicious/fonts/Landmarks2/Landmarks2.ttf	C:/My%20Web%20Sites/travelicious/travelicious.bold-themes.com/main-demo/wp-content/themes/travelicious/fonts/Landmarks2/Landmarks2.ttf	(from https://travelicious.bold-themes.com/main-demo/)
08:44:41	57964/57964	---M--	200	added ('OK')	font/woff	etag:%22e26c-5f3c8772097d0%22	https://travelicious.bold-themes.com/main-demo/wp-content/themes/travelicious/fonts/LandmarksMonuments/LandmarksMonuments.woff	C:/My%20Web%20Sites/travelicious/travelicious.bold-themes.com/main-demo/wp-content/themes/travelicious/fonts/LandmarksMonuments/LandmarksMonuments.woff	(from https://travelicious.bold-themes.com/main-demo/)
08:44:41	57888/57888	---M--	200	added ('OK')	font/ttf	etag:%22e220-5f3c8772097d0%22	https://travelicious.bold-themes.com/main-demo/wp-content/themes/travelicious/fonts/LandmarksMonuments/LandmarksMonuments.ttf	C:/My%20Web%20Sites/travelicious/travelicious.bold-themes.com/main-demo/wp-content/themes/travelicious/fonts/LandmarksMonuments/LandmarksMonuments.ttf	(from https://travelicious.bold-themes.com/main-demo/)
08:44:42	49600/49600	---M--	200	added ('OK')	font/woff	etag:%22c1c0-5f3c87720e9d9%22	https://travelicious.bold-themes.com/main-demo/wp-content/themes/travelicious/fonts/LandscapesLinear/LandscapesLinear.woff	C:/My%20Web%20Sites/travelicious/travelicious.bold-themes.com/main-demo/wp-content/themes/travelicious/fonts/LandscapesLinear/LandscapesLinear.woff	(from https://travelicious.bold-themes.com/main-demo/)
08:44:44	49524/49524	---M--	200	added ('OK')	font/ttf	etag:%22c174-5f3c87720edc1%22	https://travelicious.bold-themes.com/main-demo/wp-content/themes/travelicious/fonts/LandscapesLinear/LandscapesLinear.ttf	C:/My%20Web%20Sites/travelicious/travelicious.bold-themes.com/main-demo/wp-content/themes/travelicious/fonts/LandscapesLinear/LandscapesLinear.ttf	(from https://travelicious.bold-themes.com/main-demo/)
08:44:46	79812/79812	---M--	200	added ('OK')	font/woff	etag:%22137c4-5f3c87720da39%22	https://travelicious.bold-themes.com/main-demo/wp-content/themes/travelicious/fonts/LinearMonuments/LinearMonuments.woff	C:/My%20Web%20Sites/travelicious/travelicious.bold-themes.com/main-demo/wp-content/themes/travelicious/fonts/LinearMonuments/LinearMonuments.woff	(from https://travelicious.bold-themes.com/main-demo/)
08:44:46	79736/79736	---M--	200	added ('OK')	font/ttf	etag:%2213778-5f3c87720da39%22	https://travelicious.bold-themes.com/main-demo/wp-content/themes/travelicious/fonts/LinearMonuments/LinearMonuments.ttf	C:/My%20Web%20Sites/travelicious/travelicious.bold-themes.com/main-demo/wp-content/themes/travelicious/fonts/LinearMonuments/LinearMonuments.ttf	(from https://travelicious.bold-themes.com/main-demo/)
08:44:47	19016/19016	---M--	200	added ('OK')	font/woff	etag:%224a48-5f3c87720e5f1%22	https://travelicious.bold-themes.com/main-demo/wp-content/themes/travelicious/fonts/Monuments/Monuments.woff	C:/My%20Web%20Sites/travelicious/travelicious.bold-themes.com/main-demo/wp-content/themes/travelicious/fonts/Monuments/Monuments.woff	(from https://travelicious.bold-themes.com/main-demo/)
08:44:47	18940/18940	---M--	200	added ('OK')	font/ttf	etag:%2249fc-5f3c87720e5f1%22	https://travelicious.bold-themes.com/main-demo/wp-content/themes/travelicious/fonts/Monuments/Monuments.ttf	C:/My%20Web%20Sites/travelicious/travelicious.bold-themes.com/main-demo/wp-content/themes/travelicious/fonts/Monuments/Monuments.ttf	(from https://travelicious.bold-themes.com/main-demo/)
08:44:48	10984/10984	---M--	200	added ('OK')	font/woff	etag:%222ae8-5f3c87720a770%22	https://travelicious.bold-themes.com/main-demo/wp-content/themes/travelicious/fonts/Productivity/Productivity.woff	C:/My%20Web%20Sites/travelicious/travelicious.bold-themes.com/main-demo/wp-content/themes/travelicious/fonts/Productivity/Productivity.woff	(from https://travelicious.bold-themes.com/main-demo/)
08:44:49	18176/18176	---M--	200	added ('OK')	font/ttf	etag:%224700-5f3c87720a770%22	https://travelicious.bold-themes.com/main-demo/wp-content/themes/travelicious/fonts/Productivity/Productivity.ttf	C:/My%20Web%20Sites/travelicious/travelicious.bold-themes.com/main-demo/wp-content/themes/travelicious/fonts/Productivity/Productivity.ttf	(from https://travelicious.bold-themes.com/main-demo/)
08:44:51	24268/24268	---M--	200	added ('OK')	font/woff	etag:%225ecc-5f3c87720bee1%22	https://travelicious.bold-themes.com/main-demo/wp-content/themes/travelicious/fonts/Science/Science.woff	C:/My%20Web%20Sites/travelicious/travelicious.bold-themes.com/main-demo/wp-content/themes/travelicious/fonts/Science/Science.woff	(from https://travelicious.bold-themes.com/main-demo/)
08:44:52	43080/43080	---M--	200	added ('OK')	font/ttf	etag:%22a848-5f3c87720bee1%22	https://travelicious.bold-themes.com/main-demo/wp-content/themes/travelicious/fonts/Science/Science.ttf	C:/My%20Web%20Sites/travelicious/travelicious.bold-themes.com/main-demo/wp-content/themes/travelicious/fonts/Science/Science.ttf	(from https://travelicious.bold-themes.com/main-demo/)
08:44:54	22088/22088	---M--	200	added ('OK')	font/woff	etag:%225648-5f3c87720ce81%22	https://travelicious.bold-themes.com/main-demo/wp-content/themes/travelicious/fonts/TourismAndTravel/TourismAndTravel.woff	C:/My%20Web%20Sites/travelicious/travelicious.bold-themes.com/main-demo/wp-content/themes/travelicious/fonts/TourismAndTravel/TourismAndTravel.woff	(from https://travelicious.bold-themes.com/main-demo/)
08:45:02	22012/22012	---M--	200	added ('OK')	font/ttf	etag:%2255fc-5f3c87720ce81%22	https://travelicious.bold-themes.com/main-demo/wp-content/themes/travelicious/fonts/TourismAndTravel/TourismAndTravel.ttf	C:/My%20Web%20Sites/travelicious/travelicious.bold-themes.com/main-demo/wp-content/themes/travelicious/fonts/TourismAndTravel/TourismAndTravel.ttf	(from https://travelicious.bold-themes.com/main-demo/)
